Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population,Continent,Vaccines Rate,Death Rate,Recovery Rate
USA,52510978,833029,40908146,10769803,795166534,"333,860,677",North America,144.44,1.59,77.9
India,34765976,478759,34208926,78291,668643929,"1,399,976,270",Asia,100.65,1.38,98.4
Brazil,22222928,618128,21414318,190482,63776166,"214,784,057",South America,148.28,2.78,96.36
UK,11647473,147573,9922480,1577420,392136238,"68,411,120",Europe,187.9,1.27,85.19
Russia,10318650,301271,9139166,878213,236800000,"146,026,630",Europe,96,2.92,88.57
Turkey,9228835,80957,8858445,289433,115432381,"85,674,867",Asia,147.1,0.88,95.99
France,8798028,122116,7651414,1024498,178020146,"65,486,233",Europe,177.3,1.39,86.97
Germany,6915353,110234,5992800,812319,89622218,"84,178,481",Europe,171.1,1.59,86.66
Iran,6177885,131211,6016324,30350,41082066,"85,575,066",Asia,134.36,2.12,97.38
Spain,5645095,88937,4997068,559090,66213858,"46,781,452",Europe,165.4,1.58,88.52
Italy,5472469,136077,4933663,402729,132337126,"60,330,865",Europe,176,2.49,90.15
Argentina,5415501,116964,5243498,55039,27221412,"45,806,294",South America,160.41,2.16,96.82
Colombia,5112719,129586,4952013,31120,29106481,"51,681,176",South America,121.3,2.53,96.86
Indonesia,4261072,144034,4112292,4746,61083259,"277,780,937",Asia,95.33,3.38,96.51
Poland,4017420,93445,3500570,423405,26591417,"37,785,553",Europe,120.4,2.33,87.13
Mexico,3940401,298359,3293911,348131,12216584,"130,926,674",North America,107.69,7.57,83.59
Ukraine,3630391,94184,3393420,142787,16598851,"43,346,668",Europe,62.5,2.59,93.47
South Africa,3353106,90587,3052399,210120,20985692,"60,409,155",Africa,46.39,2.7,91.03
Netherlands,3014805,20581,2444707,549517,19205114,"17,190,710",Europe,152.8,0.68,81.09
Philippines,2837903,50981,2777671,9251,24937631,"111,727,361",Asia,91.27,1.8,97.88
Malaysia,2728203,31221,2647587,49395,40082542,"32,976,266",Asia,171.52,1.14,97.05
Czechia,2435208,35585,2214761,184862,46466585,"10,738,242",Europe,139.4,1.46,90.95
Peru,2269497,202375,2016069,253428,21280472,"33,647,710",South America,141.09,8.92,88.83
Thailand,2202001,21501,2142186,38314,17270775,"70,057,927",Asia,136.23,0.98,97.28
Iraq,2091522,24095,2061359,6068,16714393,"41,549,474",Asia,34.63,1.15,98.56
Belgium,2017154,27992,1553605,435557,26522253,"11,663,899",Europe,179.1,1.39,77.02
Canada,1924261,30113,1809406,84742,51335354,"38,229,312",North America,169.3,1.56,94.03
Romania,1800306,58382,1728635,13289,16797746,"19,048,618",Europe,76.6,3.24,96.02
Chile,1794750,38900,1706405,49445,26892021,"19,357,772",South America,223.81,2.17,95.08
Japan,1730602,18383,1710677,1542,28987157,"125,906,096",Asia,156.94,1.06,98.85
Vietnam,1588335,30251,1173484,384600,73261638,"98,627,883",Asia,140.6,1.9,73.88
Bangladesh,1581986,28052,1546352,7582,11325717,"167,104,592",Asia,71.08,1.77,97.75
